"name","orig.ident","nCount_RNA","nFeature_RNA","percent.mito","percent.mt","seurat_clusters","neuron_cluster"
"hypothalamus-JM-1_DB2557_N1","hypothalamus-JM-1",4000,1999,0.00125,0.125,7,3
"hypothalamus-JM-1_DB3046_N1","hypothalamus-JM-1",4939,2465,0.003239522,0.323952217,1,7
"hypothalamus-JM-1_DB3413_N2","hypothalamus-JM-1",9233,3503,0.004765515,0.4765515,0,4
"hypothalamus-JM-1_DB4905_N1","hypothalamus-JM-1",5796,2845,0.001552795,0.155279503,0,2
"hypothalamus-JM-1_DB285_N1","hypothalamus-JM-1",5795,2701,0.002588438,0.258843831,7,2
"hypothalamus-JM-1_DB3883_N1","hypothalamus-JM-1",3391,1538,0.001474491,0.14744913,5,NA
"hypothalamus-JM-1_DB1181_N3","hypothalamus-JM-1",17029,4606,0.001996594,0.199659405,4,16
"hypothalamus-JM-1_DB3209_N1","hypothalamus-JM-1",2901,1571,0.008273009,0.827300931,4,8
"hypothalamus-JM-1_DB233_N1","hypothalamus-JM-1",4090,2039,0.011735941,1.173594132,1,5
"hypothalamus-JM-1_DB4337_N1","hypothalamus-JM-1",6577,2906,0.001368405,0.136840505,1,5
"hypothalamus-JM-1_DB2132_N1","hypothalamus-JM-1",3436,1774,0.001746217,0.174621653,0,2
"hypothalamus-JM-1_DB3389_N1","hypothalamus-JM-1",3194,1521,0.002504696,0.250469631,5,NA
"hypothalamus-JM-1_DB981_N1","hypothalamus-JM-1",4881,2549,0.001229256,0.12292563,8,NA
"hypothalamus-JM-1_DB6900_N1","hypothalamus-JM-1",3806,1875,0.003415659,0.341565949,3,9
"hypothalamus-JM-1_DB295_N2","hypothalamus-JM-1",15300,5020,0.001111111,0.111111111,7,0
"hypothalamus-JM-1_DB2247_N1","hypothalamus-JM-1",5600,2670,0.002678571,0.267857143,0,0
"hypothalamus-JM-1_DB6138_N1","hypothalamus-JM-1",8042,3474,0.001367819,0.136781895,3,2
"hypothalamus-JM-1_DB2974_N1","hypothalamus-JM-1",6152,2865,0.002438231,0.243823147,0,0
"hypothalamus-JM-1_DB5121_N1","hypothalamus-JM-1",7278,3191,0.002473207,0.247320692,0,0
"hypothalamus-JM-1_DB6645_N1","hypothalamus-JM-1",4734,2483,0.001056189,0.105618927,0,2
"hypothalamus-JM-1_DB1148_N1","hypothalamus-JM-1",13511,5252,0.009325735,0.932573459,8,NA
"hypothalamus-JM-1_DB4275_N3","hypothalamus-JM-1",11952,4570,0.001087684,0.108768407,3,3
"hypothalamus-JM-1_DB3153_N1","hypothalamus-JM-1",3175,1639,0.003149606,0.31496063,4,10
"hypothalamus-JM-1_DB6042_N1","hypothalamus-JM-1",14201,4639,0.001056264,0.105626364,9,NA
"hypothalamus-JM-1_DB2460_N1","hypothalamus-JM-1",3035,1579,0.001647446,0.164744646,0,3
"hypothalamus-JM-1_DB999_N1","hypothalamus-JM-1",4139,1942,0.003140855,0.314085528,8,NA
"hypothalamus-JM-1_DB4258_N1","hypothalamus-JM-1",2836,1510,0.001763047,0.176304654,0,5
"hypothalamus-JM-1_DB1222_N1","hypothalamus-JM-1",7476,3449,0.0058855,0.588550027,0,0
"hypothalamus-JM-1_DB4447_N1","hypothalamus-JM-1",7435,3214,0.001613988,0.16139879,1,1
"hypothalamus-JM-1_DB5616_N1","hypothalamus-JM-1",5774,2900,0.002251472,0.225147212,4,10
"hypothalamus-JM-1_DB4726_N1","hypothalamus-JM-1",3438,2021,0.003781268,0.378126818,0,3
"hypothalamus-JM-1_DB2042_N1","hypothalamus-JM-1",5796,2666,0.00310559,0.310559006,0,0
"hypothalamus-JM-1_DB2814_N1","hypothalamus-JM-1",9763,4350,0.003175254,0.317525351,12,NA
"hypothalamus-JM-1_DB6071_N1","hypothalamus-JM-1",6570,3021,0.002283105,0.228310502,3,12
"hypothalamus-JM-1_DB4878_N1","hypothalamus-JM-1",8546,3097,0.001170138,0.117013808,4,4
"hypothalamus-JM-1_DB4749_N2","hypothalamus-JM-1",11032,3647,0.001812908,0.18129079,7,0
"hypothalamus-JM-1_DB6274_N1","hypothalamus-JM-1",8084,3683,0.004576942,0.457694211,8,NA
"hypothalamus-JM-1_DB3642_N1","hypothalamus-JM-1",2788,1507,0.00286944,0.286944046,8,NA
"hypothalamus-JM-1_DB2591_N1","hypothalamus-JM-1",4801,2154,0.002707769,0.270776921,5,NA
"hypothalamus-JM-1_DB5418_N1","hypothalamus-JM-1",7654,3073,0.003135615,0.313561536,3,3
"hypothalamus-JM-1_DB212_N1","hypothalamus-JM-1",2700,1408,0.002222222,0.222222222,0,13
"hypothalamus-JM-1_DB3495_N1","hypothalamus-JM-1",9915,4271,0.011598588,1.1598588,6,NA
"hypothalamus-JM-1_DB6249_N2","hypothalamus-JM-1",5831,2577,0.002572458,0.257245755,1,1
"hypothalamus-JM-1_DB501_N1","hypothalamus-JM-1",11559,4463,0.016610433,1.661043343,8,NA
"hypothalamus-JM-1_DB1850_N1","hypothalamus-JM-1",8409,3629,0.003329766,0.332976573,3,3
"hypothalamus-JM-1_DB1813_N1","hypothalamus-JM-1",4085,2179,0.023990208,2.399020808,4,8
"hypothalamus-JM-1_DB3211_N1","hypothalamus-JM-1",2575,1308,0.001553398,0.155339806,4,14
"hypothalamus-JM-1_DB3568_N1","hypothalamus-JM-1",3454,1854,0.002026636,0.202663578,0,0
"hypothalamus-JM-1_DB4346_N1","hypothalamus-JM-1",5991,2845,0.001836087,0.183608746,0,2
"hypothalamus-JM-1_DB1674_N1","hypothalamus-JM-1",8318,3753,0.002404424,0.240442414,1,1
"hypothalamus-JM-1_DB2410_N2","hypothalamus-JM-1",10782,4013,0.001854943,0.185494342,3,3
"hypothalamus-JM-1_DB3549_N2","hypothalamus-JM-1",8390,3142,0.001430274,0.143027414,1,6
"hypothalamus-JM-1_DB793_N2","hypothalamus-JM-1",14373,4681,0.001391498,0.139149795,1,1
"hypothalamus-JM-1_DB6636_N1","hypothalamus-JM-1",6874,2974,0.002182136,0.218213558,4,14
"hypothalamus-JM-1_DB5940_N1","hypothalamus-JM-1",2558,1364,0.001563722,0.156372166,5,NA
"hypothalamus-JM-1_DB5141_N1","hypothalamus-JM-1",6346,2861,0.001733375,0.173337535,0,0
"hypothalamus-JM-1_DB4900_N1","hypothalamus-JM-1",7669,3194,0.001825531,0.182553136,0,6
"hypothalamus-JM-1_DB4754_N1","hypothalamus-JM-1",3739,1665,0.001604707,0.160470714,5,NA
"hypothalamus-JM-1_DB4798_N1","hypothalamus-JM-1",8712,3598,0.001836547,0.183654729,7,3
"hypothalamus-JM-1_DB36_N1","hypothalamus-JM-1",9626,3753,0.002181592,0.218159152,0,7
"hypothalamus-JM-1_DB2066_N1","hypothalamus-JM-1",7764,3221,0.003477589,0.347758887,3,13
"hypothalamus-JM-1_DB3068_N1","hypothalamus-JM-1",3951,1755,0.001518603,0.151860289,5,NA
"hypothalamus-JM-1_DB4116_N1","hypothalamus-JM-1",13047,5247,0.009810684,0.981068445,6,NA
"hypothalamus-JM-1_DB4515_N1","hypothalamus-JM-1",3619,1736,0.009118541,0.911854103,1,7
"hypothalamus-JM-1_DB5393_N1","hypothalamus-JM-1",3585,1792,0.00390516,0.390516039,0,2
"hypothalamus-JM-1_DB938_N2","hypothalamus-JM-1",19985,6351,0.015111334,1.51113335,14,NA
"hypothalamus-JM-1_DB4825_N1","hypothalamus-JM-1",5278,2534,0.005115574,0.511557408,1,0
"hypothalamus-JM-1_DB2301_N1","hypothalamus-JM-1",9214,3568,0.001302366,0.130236596,0,4
"hypothalamus-JM-1_DB2585_N2","hypothalamus-JM-1",6688,3015,0.001046651,0.104665072,7,2
"hypothalamus-JM-1_DB1102_N1","hypothalamus-JM-1",9002,3495,0.015663186,1.566318596,12,NA
"hypothalamus-JM-1_DB5221_N1","hypothalamus-JM-1",7746,3418,0.001032791,0.103279112,4,3
"hypothalamus-JM-1_DB4241_N1","hypothalamus-JM-1",3682,1888,0.006246605,0.624660511,0,7
"hypothalamus-JM-1_DB5774_N1","hypothalamus-JM-1",5470,2572,0.003839122,0.383912249,9,NA
"hypothalamus-JM-1_DB154_N3","hypothalamus-JM-1",13852,4447,0.004764655,0.476465492,7,0
"hypothalamus-JM-1_DB2737_N2","hypothalamus-JM-1",7864,3160,0.001144456,0.114445575,0,0
"hypothalamus-JM-1_DB3530_N1","hypothalamus-JM-1",3796,1960,0.025026344,2.502634352,4,14
"hypothalamus-JM-1_DB2502_N2","hypothalamus-JM-1",9173,3526,0.001090156,0.109015589,1,6
"hypothalamus-JM-1_DB2761_N1","hypothalamus-JM-1",4806,2481,0.002913025,0.291302538,0,2
"hypothalamus-JM-1_DB5035_N1","hypothalamus-JM-1",8621,3612,0.002319916,0.231991648,0,0
"hypothalamus-JM-1_DB2205_N1","hypothalamus-JM-1",11241,4145,0.001868161,0.18681612,1,1
"hypothalamus-JM-1_DB2533_N2","hypothalamus-JM-1",7656,3230,0.002220481,0.222048067,0,2
"hypothalamus-JM-1_DB5768_N1","hypothalamus-JM-1",8216,3486,0.002312561,0.231256086,9,NA
"hypothalamus-JM-1_DB1458_N1","hypothalamus-JM-1",8188,3391,0.001954079,0.195407914,0,7
"hypothalamus-JM-1_DB173_N3","hypothalamus-JM-1",11052,3880,0.002171553,0.217155266,1,7
"hypothalamus-JM-1_DB1584_N1","hypothalamus-JM-1",6429,2945,0.001244361,0.124436149,1,1
"hypothalamus-JM-1_DB3427_N1","hypothalamus-JM-1",3457,1836,0.002314145,0.231414521,8,NA
"hypothalamus-JM-1_DB2198_N1","hypothalamus-JM-1",3633,1906,0.003303055,0.330305533,3,3
"hypothalamus-JM-1_DB3750_N1","hypothalamus-JM-1",3991,1972,0.003006765,0.300676522,3,3
"hypothalamus-JM-1_DB4667_N1","hypothalamus-JM-1",3811,2027,0.001311992,0.13119916,0,3
"hypothalamus-JM-1_DB184_N1","hypothalamus-JM-1",9703,4170,0.001545914,0.154591363,3,9
"hypothalamus-JM-1_DB211_N1","hypothalamus-JM-1",5428,2442,0.001658069,0.165806927,0,0
"hypothalamus-JM-1_DB1588_N2","hypothalamus-JM-1",8907,3429,0.002245425,0.224542495,3,13
"hypothalamus-JM-1_DB4224_N2","hypothalamus-JM-1",11583,4351,0.012604679,1.260467927,9,NA
"hypothalamus-JM-1_DB2825_N1","hypothalamus-JM-1",18400,6247,0.00375,0.375,9,NA
"hypothalamus-JM-1_DB3_N1","hypothalamus-JM-1",11046,4028,0.004073873,0.40738729,7,0
"hypothalamus-JM-1_DB2620_N2","hypothalamus-JM-1",11318,4160,0.016522354,1.652235377,0,0
"hypothalamus-JM-1_DB3670_N1","hypothalamus-JM-1",5592,2861,0.001967096,0.196709585,0,0
"hypothalamus-JM-1_DB5630_N1","hypothalamus-JM-1",10612,4076,0.009234828,0.92348285,1,1
"hypothalamus-JM-1_DB6629_N1","hypothalamus-JM-1",4990,2389,0.001202405,0.120240481,0,2
"hypothalamus-JM-1_DB2155_N2","hypothalamus-JM-1",9774,3785,0.001943933,0.194393288,3,3
"hypothalamus-JM-1_DB1300_N1","hypothalamus-JM-1",7963,3403,0.001758131,0.175813136,9,NA
"hypothalamus-JM-1_DB3354_N2","hypothalamus-JM-1",8832,3847,0.001245471,0.124547101,7,0
"hypothalamus-JM-1_DB3807_N1","hypothalamus-JM-1",12732,4012,0.002199183,0.219918316,4,10
"hypothalamus-JM-1_DB269_N1","hypothalamus-JM-1",5192,2080,0.001733436,0.173343606,1,6
"hypothalamus-JM-1_DB4312_N1","hypothalamus-JM-1",8041,3376,0.008705385,0.87053849,1,7
"hypothalamus-JM-1_DB510_N1","hypothalamus-JM-1",9633,3339,0.001245718,0.124571784,7,4
"hypothalamus-JM-1_DB4150_N1","hypothalamus-JM-1",11787,4144,0.001018071,0.101807076,0,0
"hypothalamus-JM-1_DB3189_N2","hypothalamus-JM-1",9738,4002,0.001643048,0.164304785,3,9
"hypothalamus-JM-1_DB4022_N1","hypothalamus-JM-1",5850,2665,0.001196581,0.11965812,3,0
"hypothalamus-JM-1_DB1005_N2","hypothalamus-JM-1",9578,3682,0.001774901,0.177490081,0,4
"hypothalamus-JM-1_DB376_N1","hypothalamus-JM-1",8090,3528,0.006427689,0.64276885,3,9
"hypothalamus-JM-1_DB6912_N1","hypothalamus-JM-1",3179,1788,0.003145643,0.314564328,1,1
